Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,316.899994,328.000000,315.500000,323.000000,317.295807,22946515
2020-02-11,328.000000,361.000000,326.500000,344.950012,338.858185,62386677
2020-02-12,343.350006,355.450012,322.350006,339.750000,333.750000,59833683
2020-02-13,340.000000,342.399994,324.049988,327.000000,327.000000,24055205
2020-02-14,329.000000,334.450012,318.700012,320.799988,320.799988,19506457
2020-02-17,320.700012,324.399994,306.200012,307.750000,307.750000,16954075
2020-02-18,307.950012,307.950012,293.299988,300.049988,300.049988,18991374
2020-02-19,306.000000,313.350006,302.850006,305.450012,305.450012,19471833
2020-02-20,304.000000,359.750000,301.299988,338.200012,338.200012,70436641
2020-02-24,335.000000,350.799988,326.000000,330.850006,330.850006,40567458
2020-02-25,337.500000,344.000000,318.350006,324.700012,324.700012,35753585
2020-02-26,324.600006,334.700012,315.649994,321.500000,321.500000,31030962
2020-02-27,326.000000,328.200012,308.200012,316.700012,316.700012,30595992
2020-02-28,303.200012,306.299988,275.850006,279.850006,279.850006,37439449
2020-03-02,307.799988,349.750000,279.000000,284.399994,284.399994,70157790
2020-03-03,295.000000,303.799988,283.399994,292.549988,292.549988,47549484
2020-03-04,296.000000,297.850006,270.450012,282.899994,282.899994,40968496
2020-03-05,288.899994,300.000000,280.299988,285.450012,285.450012,40814937
2020-03-06,256.950012,258.899994,243.199997,254.500000,254.500000,43258904
2020-03-09,229.050003,229.050003,203.800003,213.649994,213.649994,40079520
2020-03-11,206.649994,218.949997,186.500000,195.550003,195.550003,55646832
2020-03-12,176.000000,176.000000,131.500000,163.600006,163.600006,49633888
2020-03-13,147.250000,177.000000,140.000000,163.600006,163.600006,37205598
2020-03-16,152.100006,164.699997,150.000000,153.600006,153.600006,23092497
2020-03-17,154.050003,174.949997,150.100006,160.100006,160.100006,35348743
2020-03-18,164.699997,170.000000,113.550003,135.449997,135.449997,38337483
2020-03-19,122.000000,126.650002,81.400002,89.750000,89.750000,73985571
2020-03-20,93.000000,115.500000,81.000000,90.800003,90.800003,132894114
2020-03-23,81.750000,99.849998,81.750000,96.250000,96.250000,41121210
2020-03-24,105.000000,105.849998,88.150002,90.199997,90.199997,22819451
2020-03-25,85.099998,97.000000,83.199997,95.050003,95.050003,21239155
2020-03-26,95.050003,104.000000,88.150002,95.650002,95.650002,38589207
2020-03-27,100.000000,109.949997,89.250000,90.900002,90.900002,39851276
2020-03-30,89.449997,92.849998,85.599998,91.349998,91.349998,15500126
2020-03-31,94.900002,99.150002,92.050003,96.750000,96.750000,16346985
2020-04-01,98.300003,105.000000,97.050003,99.349998,99.349998,23202178
2020-04-03,98.500000,99.000000,93.500000,96.650002,96.650002,14992636
2020-04-07,101.800003,102.349998,96.699997,98.099998,98.099998,20704589
2020-04-08,96.500000,102.449997,95.050003,96.849998,96.849998,21732918
